Sample2
Pos,Thickness,Target Thickness
37.81 -91.28,317.969606022,317.686
69.86 -69.86,317.107614604,317.018
91.28 -37.81,317.264598224,316.897
98.80 0.00,316.9906207,316.79
91.28 37.81,317.00955178,317.212
69.86 69.86,317.03422437,316.933
37.81 91.28,317.664897276,317.238
0.00 0.00,329.42297152,329.578
0.00 49.40,328.901196377,327.7
-34.93 34.93,329.69725138,329.484
-49.40 0.00,329.618615237,329.843
-34.93 -34.93,329.557074127,330.136
0.00 -49.40,328.707353845,328.621
34.93 -34.93,326.834914364,326.708
49.40 0.00,325.976215269,326.147
34.93 34.93,326.820214386,326.447
0.00 98.80,318.723926722,317.965
-37.81 91.28,319.137581435,318.833
-69.86 69.86,320.080842091,319.732
-91.28 37.81,320.097541615,320.225
-98.80 0.00,320.382873177,320.743
-91.28 -37.81,320.598241494,320.895
-69.86 -69.86,320.573642324,320.724
-37.81 -91.28,320.573642324,320.31
0.00 -98.80,318.166128477,318.731
37.81 -91.28,317.894792368,317.686
69.86 -69.86,317.016382561,317.018
91.28 -37.81,316.972778891,316.897
98.80 0.00,316.972778891,316.79
91.28 37.81,316.972778891,317.212
69.86 69.86,316.972778891,316.933
37.81 91.28,317.677342267,317.238
0.00 0.00,329.354232853,329.578
0.00 49.40,328.83616738,327.7
-34.93 34.93,329.577435368,329.484
-49.40 0.00,329.587220778,329.843
-34.93 -34.93,329.398743198,330.136
0.00 -49.40,328.424465511,328.621
34.93 -34.93,327.062374385,326.708
49.40 0.00,326.373162454,326.147
34.93 34.93,326.69233351,326.447
0.00 98.80,319.133241513,317.965
-37.81 91.28,319.835619599,318.833
-69.86 69.86,320.097541615,319.732
-91.28 37.81,320.097541615,320.225
-98.80 0.00,320.477271991,320.743
-91.28 -37.81,320.477271991,320.895
-69.86 -69.86,320.477271991,320.724
-37.81 -91.28,320.065524277,320.31
0.00 -98.80,318.964730366,318.731
37.81 -91.28,317.738527059,317.686
69.86 -69.86,316.996740255,317.018
91.28 -37.81,316.996740255,316.897
98.80 0.00,316.996740255,316.79
91.28 37.81,316.996740255,317.212
69.86 69.86,316.972778891,316.933
37.81 91.28,317.478362355,317.238
0.00 0.00,329.523270896,329.578
0.00 49.40,328.812531931,327.7
-34.93 34.93,329.69725138,329.484
-49.40 0.00,329.69725138,329.843
-34.93 -34.93,329.69725138,330.136
0.00 -49.40,328.277588009,328.621
34.93 -34.93,327.385394407,326.708
49.40 0.00,326.577389608,326.147
34.93 34.93,326.888009516,326.447
0.00 98.80,318.774998955,317.965
-37.81 91.28,319.257487128,318.833
-69.86 69.86,320.097541615,319.732
-91.28 37.81,320.193868404,320.225
-98.80 0.00,320.543509769,320.743
-91.28 -37.81,320.452672821,320.895
-69.86 -69.86,320.543509769,320.724
-37.81 -91.28,320.040872788,320.31
0.00 -98.80,318.31979386,318.731
37.81 -91.28,317.838340516,317.686
69.86 -69.86,316.9906207,317.018
91.28 -37.81,316.972778891,316.897
98.80 0.00,316.9906207,316.79
91.28 37.81,317.00955178,317.212
69.86 69.86,317.00955178,316.933
37.81 91.28,317.094624534,317.238
Sample4
0.00 0.00,301.882914734,302.45
0.00 49.40,296.268524029,296.977
-34.93 34.93,296.741897409,295.97
-49.40 0.00,296.294940691,296.546
-34.93 -34.93,296.271997094,296.283
0.00 -49.40,296.31432808,296.713
34.93 -34.93,296.752384353,297.092
49.40 0.00,296.825782381,297.169
34.93 34.93,296.605717858,297.154
0.00 98.80,288.202763298,288.425
-37.81 91.28,287.84589233,287.838
-69.86 69.86,287.800118481,287.333
-91.28 37.81,287.520749505,287.055
-98.80 0.00,287.598251498,287.428
-91.28 -37.81,287.520749505,287.529
-69.86 -69.86,287.882098589,287.826
-37.81 -91.28,288.045481799,288.396
0.00 -98.80,287.958165113,289.125
37.81 -91.28,289.102042624,289.564
69.86 -69.86,289.209124177,289.417
91.28 -37.81,289.325076492,289.287
98.80 0.00,294.089635454,295.301
91.28 37.81,289.362420019,289.546
69.86 69.86,289.362420019,289.624
37.81 91.28,289.250356317,288.815
0.00 0.00,301.882914734,302.45
0.00 49.40,296.948791514,296.977
-34.93 34.93,296.321250405,295.97
-49.40 0.00,296.491034727,296.546
-34.93 -34.93,296.492753327,296.283
0.00 -49.40,296.671422628,296.713
34.93 -34.93,297.067349827,297.092
49.40 0.00,297.077537358,297.169
34.93 34.93,297.008516011,297.154
0.00 98.80,288.46779891,288.425
-37.81 91.28,288.234733525,287.838
-69.86 69.86,287.711374691,287.333
-91.28 37.81,287.520749505,287.055
