WaveLength,0.00 0.00,0.00 49.40,-34.93 34.93,-49.40 0.00,-34.93 -34.93,0.00 -49.40,34.93 -34.93,49.40 0.00,34.93 34.93,0.00 98.80,-37.81 91.28,-69.86 69.86,-91.28 37.81,-98.80 0.00,-91.28 -37.81,-69.86 -69.86,-37.81 -91.28,0.00 -98.80,37.81 -91.28,69.86 -69.86,91.28 -37.81,98.80 0.00,91.28 37.81,69.86 69.86,37.81 91.28,0.00 148.00,-38.31 142.96,-74.00 128.17,-104.65 104.65,-128.17 74.00,-142.96 38.31,-148.00 0.00,-142.96 -38.31,-128.17 -74.00,-104.65 -104.65,-74.00 -128.17,-38.31 -142.96,0.00 -148.00,38.31 -142.96,74.00 -128.17,104.65 -104.65,128.17 -74.00,142.96 -38.31,148.00 0.00,142.96 38.31,128.17 74.00,104.65 104.65,74.00 128.17,38.31 142.96
576.57577097545,38.824262550289,38.8255762510901,38.8324966075151,38.8316452821708,38.8341702600696,38.8314904715826,38.8545686498362,38.8557435009131,38.8008660080546,38.7270668620493,38.7694565106232,38.7430309852952,38.7439128614956,38.7193764394024,38.7145592520323,38.6882441518224,38.7634766841256,38.7474541309685,38.7567154607313,38.7237237674749,38.7307084849297,38.7349202505725,38.744813370361,38.7706971355671,38.7221314020197,38.351343019378,37.7465954392695,37.1753261559341,38.1291715843754,38.3985593395164,38.3231563015424,38.219760747901,38.3207432035645,38.3151521730809,38.3108906643775,38.2040239935266,38.3111600126991,37.9990450388104,38.4875946758691,38.4479711807023,38.3594887532958,38.6194406443189,38.3625019433874,38.5829583478903,38.6418033254391,38.5002626359152,38.6570152037958,38.5942160306194,38.5241133703415
577.02786687173,38.8113288751013,38.811052067898,38.8192475013661,38.8136441334924,38.8203211392436,38.8178178806466,38.8397087146442,38.8406552437498,38.7858717265428,38.7134963161755,38.7543226388269,38.7253630585941,38.7309206320834,38.7075622949543,38.6999479581149,38.672591446929,38.7474105384618,38.7324618032263,38.7414436811574,38.7051431185373,38.7148207328241,38.7176410574238,38.7284152906527,38.75790055575,38.706797098191,38.3355094541457,37.730406391563,37.1608616339654,38.1122025048462,38.3851866458852,38.310662450058,38.2031660039776,38.3097026551188,38.2997650500647,38.2962653442466,38.1892176719494,38.2969851100731,37.9807868382802,38.471449035548,38.4355944649399,38.3437096963037,38.601971767535,38.3463538467198,38.5659361162021,38.6236892091203,38.4870774735132,38.6416616457861,38.5782603691225,38.508183023284
577.47993406791,38.7965883358942,38.7972841159755,38.8016570001321,38.8000765528509,38.8055897157043,38.8024988279627,38.8264507845397,38.8217838074833,38.7731309945473,38.6980680106666,38.7382523588437,38.7104124117225,38.7167121595938,38.6927003368488,38.6840975712952,38.6544407432422,38.7333534597495,38.7158424659199,38.729576527512,38.6897814630734,38.7029787544902,38.7043258550138,38.7117903113363,38.7394823529854,38.6925223865499,38.3195504049194,37.7166486885167,37.1452912466334,38.0956125388595,38.3675916778254,38.2922676629255,38.1862293286716,38.2947185162406,38.2826781950909,38.2811288960959,38.171929625376,38.2779190163138,37.9651632647617,38.4568593278091,38.4190161295211,38.3259153686419,38.5863826318,38.3261081946918,38.5494085964081,38.6067382323926,38.4719666516917,38.6249122377477,38.562370012888,38.4920789604236
577.93197256075,38.7847071070309,38.7827218663528,38.7857462067238,38.7865704266411,38.7911988071997,38.7855483414624,38.812386302015,38.8084935793617,38.7621343041463,38.682977926692,38.7235861425655,38.699091648702,38.7024586521772,38.6775276571626,38.6733365873054,38.6390303995468,38.7217977761475,38.7045309753444,38.7142306860996,38.6759211045775,38.690171409273,38.6878756083476,38.6983771926401,38.7235006373037,38.6770962924686,38.3043919347824,37.7027781551201,37.1313844697016,38.0833313263611,38.3548035396816,38.2803340676899,38.1734064298406,38.2805935983523,38.2649405523405,38.2650382008569,38.1586334068862,38.2632097337832,37.9499058088771,38.4435011653974,38.4031029440821,38.3132100592106,38.570438095294,38.3123504703195,38.5354516619529,38.5902675275953,38.4563860518373,38.608761104185,38.5487056335441,38.4806357963104
578.38398234699,38.7720718447222,38.7685984589189,38.7720865044783,38.7708919784547,38.7765234170469,38.7702499062456,38.7990016213599,38.7917942380668,38.7475970681114,38.6629767854615,38.7095478595143,38.6812150423967,38.6851538998652,38.6652792738109,38.6594213970835,38.627458149259,38.7072041536775,38.6902491903088,38.7007859841414,38.6589080545498,38.6753251541182,38.673181747137,38.6817518182228,38.7065684000883,38.6637292591638,38.2890739878547,37.68737075774,37.1192841894992,38.0655168363893,38.3423662462306,38.2623799250305,38.1588208834378,38.2644670781618,38.2475679362429,38.2476347629712,38.1421157496515,38.2491687369718,37.9371239029812,38.4265036356784,38.3865792476067,38.2942730682555,38.5524838745213,38.2972541875398,38.5181917200999,38.5741453588556,38.4402073552755,38.5927466086474,38.5324634599128,38.4622380813443
578.83596342342,38.7583169493505,38.7539900711188,38.7566193393565,38.7546252026865,38.7611684976085,38.7556753879739,38.7808197768959,38.7752071924474,38.732047515222,38.6490134812131,38.6956135926467,38.6658666218888,38.6696663864959,38.6474345655164,38.646100327883,38.60995972629,38.6914233048463,38.6758261410619,38.6836270296599,38.6455785942489,38.6592450801626,38.6560130160511,38.6669503275831,38.6904148493294,38.6498092877289,38.2744301124913,37.6713016549676,37.1087626469485,38.048515267573,38.3268111491111,38.2473231281386,38.1431782903326,38.2488496516485,38.2296759371097,38.2323403704146,38.1269453677796,38.2327009412776,37.9216949825796,38.4126481442103,38.3733584780995,38.2760734068821,38.5378229605162,38.2831060718686,38.5012043133204,38.5562849552811,38.4266385445753,38.5750023323392,38.5143449330425,38.4461236713596
579.28791578678,38.7423366629496,38.7352781173392,38.7390652233311,38.7401933270901,38.745339739893,38.7432082705999,38.7619849250643,38.7591885798619,38.7175936605213,38.6286738581051,38.6793020199665,38.6465240986536,38.650327012806,38.6293891529931,38.6298941366712,38.5894124043145,38.6741348824563,38.6540796194026,38.6657986614257,38.6273838704259,38.6430163862294,38.6394590347885,38.6492581165273,38.6773243146308,38.6310763085175,38.2560881898923,37.655211973518,37.09551643304,38.0293657555391,38.3133018921323,38.2316416148469,38.1238942375833,38.2300111319261,38.2103318802457,38.2131318884844,38.111932905904,38.2111581665266,37.9036051813589,38.3983729994062,38.3533946183901,38.258821288525,38.5181648718084,38.2654424007465,38.4841278409589,38.5373040136602,38.4089971835549,38.5559832285734,38.4968986340222,38.4309516682575
579.73983943384,38.7246466227608,38.7177407763226,38.7181128416786,38.7218252976373,38.7300514868778,38.7252852424018,38.7426074156843,38.7410391824074,38.6993471806317,38.6091661680748,38.6602239231961,38.6264496497892,38.6313940703281,38.6112838633721,38.6124797111828,38.5714076095665,38.6557751305103,38.6345681846127,38.6487324022115,38.6102986062509,38.6251292234799,38.6221619142349,38.6285854521837,38.6559693677492,38.6099023795415,38.2379033836855,37.6365319343417,37.0793671325075,38.011010127218,38.2947849296145,38.2126429532346,38.103756112383,38.2092687701402,38.1900728393711,38.1923841873585,38.0945069626191,38.1927880827924,37.8825682059877,38.3783872621689,38.3310871124475,38.2394244911891,38.4972698191169,38.2450938497523,38.4635379672565,38.5164389719805,38.3869344661642,38.537613865115,38.4744991214838,38.4106369625325
580.19173436136,38.7115300677071,38.7053000473946,38.7075895732871,38.7091850416973,38.7175496187778,38.7127203991708,38.7313280723402,38.7269010268916,38.6867637036992,38.594601641584,38.6473022578754,38.6135722910847,38.6195683624064,38.5995749111196,38.6006985033444,38.560199247056,38.6431072418647,38.6218818548909,38.6372501433931,38.597525496261,38.6108622022731,38.6086590006233,38.6146611227097,38.6428792740895,38.6003105310957,38.2223713960774,37.6243773560341,37.0668824749104,37.9916480331618,38.2815277748879,38.200785619996,38.0863765097248,38.1949173380421,38.1777436265505,38.1769938324843,38.0823131917368,38.181784925319,37.8676559304526,38.3632766796523,38.3186590503724,38.221751950783,38.4834971668699,38.2291546092887,38.4478926523196,38.4995049029644,38.3706271624838,38.520727466248,38.4607834169755,38.3962804016748
580.6436005661,38.6986956905603,38.6938387592637,38.6953342593387,38.6953946726319,38.7069810553963,38.702036701366,38.7172520380921,38.7170810848753,38.6750997261591,38.58233986851,38.6348563964471,38.6003467136301,38.6075255949607,38.5875770588117,38.5904383079999,38.5491271809756,38.6317397878026,38.6107323370136,38.627950306296,38.5832870199475,38.6013676232208,38.5954453272687,38.601842074696,38.6295371352564,38.5885559598953,38.2099261814521,37.6094528406832,37.0540110348938,37.9757059704345,38.2657445335696,38.188405314977,38.0716947142636,38.1801660316106,38.1630179143297,38.1649046273157,38.0723105378493,38.16764338181,37.8534980797577,38.3487459623535,38.3041715027293,38.2080110133324,38.46697593098,38.2151608000881,38.4354577278937,38.4869712436434,38.3573134180684,38.5079218675702,38.4487153528085,38.383944212144
