"Pos : 69.86 69.86         | Predict  : 293.6610412597656   |  Target 296.2203674316406 "
"Pos : 37.81 91.28         | Predict  : 299.831787109375    |  Target 296.6725158691406 "
"Pos : 0.00 0.00           | Predict  : 307.8600158691406   |  Target 309.224853515625  "
"Pos : 0.00 49.40          | Predict  : 311.8583984375      |  Target 307.0984802246094 "
"Pos : -34.93 34.93        | Predict  : 306.71484375        |  Target 308.1975402832031 "
"Pos : -49.40 0.00         | Predict  : 314.466796875       |  Target 309.18890380859375"
"Pos : -34.93 -34.93       | Predict  : 305.1631164550781   |  Target 309.2918395996094 "
"Pos : 0.00 -49.40         | Predict  : 302.7225646972656   |  Target 308.55908203125   "
"Pos : 34.93 -34.93        | Predict  : 311.15887451171875  |  Target 307.4739990234375 "
"Pos : 49.40 0.00          | Predict  : 306.9373779296875   |  Target 306.08831787109375"
"Pos : 34.93 34.93         | Predict  : 307.08935546875     |  Target 306.15283203125   "
"Pos : 0.00 98.80          | Predict  : 297.647705078125    |  Target 297.2350769042969 "
"Pos : -37.81 91.28        | Predict  : 298.1756286621094   |  Target 297.9588928222656 "
"Pos : -69.86 69.86        | Predict  : 299.5938720703125   |  Target 298.9847106933594 "
"Pos : -91.28 37.81        | Predict  : 303.2361755371094   |  Target 299.77923583984375"
"Pos : -98.80 0.00         | Predict  : 299.3721923828125   |  Target 300.4298095703125 "
"Pos : -91.28 -37.81       | Predict  : 297.5860595703125   |  Target 300.2670593261719 "
