"Pos : 91.28 37.81         | Predict  : 315.5548400878906   |  Target 317.2120361328125 "
"Pos : 69.86 69.86         | Predict  : 318.6968994140625   |  Target 316.93328857421875"
"Pos : 37.81 91.28         | Predict  : 318.26092529296875  |  Target 317.2383728027344 "
"Pos : 0.00 0.00           | Predict  : 331.8786315917969   |  Target 329.5776672363281 "
"Pos : 0.00 49.40          | Predict  : 328.59326171875     |  Target 327.69970703125   "
"Pos : -34.93 34.93        | Predict  : 330.3586120605469   |  Target 329.4841613769531 "
"Pos : -49.40 0.00         | Predict  : 334.6619567871094   |  Target 329.8428039550781 "
"Pos : -34.93 -34.93       | Predict  : 327.5083923339844   |  Target 330.13592529296875"
"Pos : 0.00 -49.40         | Predict  : 324.4186096191406   |  Target 328.6207275390625 "
"Pos : 34.93 -34.93        | Predict  : 323.9988708496094   |  Target 326.7083740234375 "
"Pos : 49.40 0.00          | Predict  : 325.32342529296875  |  Target 326.14703369140625"
"Pos : 34.93 34.93         | Predict  : 329.46331787109375  |  Target 326.447021484375  "
"Pos : 0.00 98.80          | Predict  : 312.7998046875      |  Target 317.9645080566406 "
"Pos : -37.81 91.28        | Predict  : 325.86468505859375  |  Target 318.8328552246094 "
"Pos : -69.86 69.86        | Predict  : 318.18255615234375  |  Target 319.7321472167969 "
"Pos : -91.28 37.81        | Predict  : 321.2754821777344   |  Target 320.2249755859375 "
"Pos : -98.80 0.00         | Predict  : 321.0284423828125   |  Target 320.74261474609375"
"Pos : -91.28 -37.81       | Predict  : 320.9707336425781   |  Target 320.8946838378906 "
"Pos : -69.86 -69.86       | Predict  : 324.8408203125      |  Target 320.7244567871094 "
"Pos : -37.81 -91.28       | Predict  : 314.943359375       |  Target 320.3100891113281 "
"Pos : 0.00 -98.80         | Predict  : 312.3889465332031   |  Target 318.73089599609375"
"Pos : 37.81 -91.28        | Predict  : 319.677734375       |  Target 317.6855163574219 "
"Pos : 69.86 -69.86        | Predict  : 321.0273132324219   |  Target 317.0175476074219 "
"Pos : 91.28 -37.81        | Predict  : 317.2215576171875   |  Target 316.89739990234375"
"Pos : 98.80 0.00          | Predict  : 316.29534912109375  |  Target 316.7902526855469 "
"Pos : 91.28 37.81         | Predict  : 320.9231262207031   |  Target 317.2120361328125 "
"Pos : 69.86 69.86         | Predict  : 313.5934143066406   |  Target 316.93328857421875"
"Pos : 37.81 91.28         | Predict  : 316.3396911621094   |  Target 317.2383728027344 "
"Pos : 0.00 0.00           | Predict  : 329.50048828125     |  Target 329.5776672363281 "
"Pos : 0.00 49.40          | Predict  : 334.3500061035156   |  Target 327.69970703125   "
"Pos : -34.93 34.93        | Predict  : 332.9229736328125   |  Target 329.4841613769531 "
"Pos : -49.40 0.00         | Predict  : 331.413818359375    |  Target 329.8428039550781 "
"Pos : -34.93 -34.93       | Predict  : 332.6171569824219   |  Target 330.13592529296875"
"Pos : 0.00 -49.40         | Predict  : 326.4210510253906   |  Target 328.6207275390625 "
"Pos : 34.93 -34.93        | Predict  : 327.3905944824219   |  Target 326.7083740234375 "
"Pos : 49.40 0.00          | Predict  : 322.36163330078125  |  Target 326.14703369140625"
"Pos : 34.93 34.93         | Predict  : 323.284423828125    |  Target 326.447021484375  "
"Pos : 0.00 98.80          | Predict  : 318.4377136230469   |  Target 317.9645080566406 "
"Pos : -37.81 91.28        | Predict  : 318.86248779296875  |  Target 318.8328552246094 "
"Pos : -69.86 69.86        | Predict  : 317.353515625       |  Target 319.7321472167969 "
"Pos : -91.28 37.81        | Predict  : 321.5504150390625   |  Target 320.2249755859375 "
"Pos : -98.80 0.00         | Predict  : 328.16741943359375  |  Target 320.74261474609375"
"Pos : -91.28 -37.81       | Predict  : 316.42889404296875  |  Target 320.8946838378906 "
"Pos : -69.86 -69.86       | Predict  : 321.8976135253906   |  Target 320.7244567871094 "
"Pos : -37.81 -91.28       | Predict  : 317.6072998046875   |  Target 320.3100891113281 "
"Pos : 0.00 -98.80         | Predict  : 319.11968994140625  |  Target 318.73089599609375"
"Pos : 37.81 -91.28        | Predict  : 319.2060546875      |  Target 317.6855163574219 "
"Pos : 69.86 -69.86        | Predict  : 321.57330322265625  |  Target 317.0175476074219 "
"Pos : 91.28 -37.81        | Predict  : 318.1815185546875   |  Target 316.89739990234375"
"Pos : 98.80 0.00          | Predict  : 303.3238220214844   |  Target 316.7902526855469 "
"Pos : 91.28 37.81         | Predict  : 313.988525390625    |  Target 317.2120361328125 "
"Pos : 69.86 69.86         | Predict  : 318.85870361328125  |  Target 316.93328857421875"
"Pos : 37.81 91.28         | Predict  : 319.3485412597656   |  Target 317.2383728027344 "
"Pos : 0.00 0.00           | Predict  : 328.1846923828125   |  Target 329.5776672363281 "
"Pos : 0.00 49.40          | Predict  : 325.7603454589844   |  Target 327.69970703125   "
"Pos : -34.93 34.93        | Predict  : 331.8791198730469   |  Target 329.4841613769531 "
"Pos : -49.40 0.00         | Predict  : 331.3431396484375   |  Target 329.8428039550781 "
"Pos : -34.93 -34.93       | Predict  : 334.2608642578125   |  Target 330.13592529296875"
"Pos : 0.00 -49.40         | Predict  : 323.82989501953125  |  Target 328.6207275390625 "
"Pos : 34.93 -34.93        | Predict  : 323.310302734375    |  Target 326.7083740234375 "
"Pos : 49.40 0.00          | Predict  : 324.14556884765625  |  Target 326.14703369140625"
"Pos : 34.93 34.93         | Predict  : 327.1025695800781   |  Target 326.447021484375  "
"Pos : 0.00 98.80          | Predict  : 322.6000671386719   |  Target 317.9645080566406 "
"Pos : -37.81 91.28        | Predict  : 319.3790588378906   |  Target 318.8328552246094 "
"Pos : -69.86 69.86        | Predict  : 320.1830749511719   |  Target 319.7321472167969 "
"Pos : -91.28 37.81        | Predict  : 320.275634765625    |  Target 320.2249755859375 "
"Pos : -98.80 0.00         | Predict  : 324.7850036621094   |  Target 320.74261474609375"
"Pos : -91.28 -37.81       | Predict  : 329.5052490234375   |  Target 320.8946838378906 "
"Pos : -69.86 -69.86       | Predict  : 317.3507080078125   |  Target 320.7244567871094 "
"Pos : -37.81 -91.28       | Predict  : 314.4192810058594   |  Target 320.3100891113281 "
"Pos : 0.00 -98.80         | Predict  : 312.69573974609375  |  Target 318.73089599609375"
"Pos : 37.81 -91.28        | Predict  : 315.43603515625     |  Target 317.6855163574219 "
"Pos : 69.86 -69.86        | Predict  : 320.2262878417969   |  Target 317.0175476074219 "
"Pos : 91.28 -37.81        | Predict  : 318.37152099609375  |  Target 316.89739990234375"
"Pos : 98.80 0.00          | Predict  : 323.5596618652344   |  Target 316.7902526855469 "
"Pos : 91.28 37.81         | Predict  : 318.6476135253906   |  Target 317.2120361328125 "
"Pos : 69.86 69.86         | Predict  : 318.1427917480469   |  Target 316.93328857421875"
"Pos : 37.81 91.28         | Predict  : 314.3161926269531   |  Target 317.2383728027344 "
"Pos : 0.00 0.00           | Predict  : 329.74505615234375  |  Target 329.5776672363281 "
"Pos : 0.00 49.40          | Predict  : 330.33837890625     |  Target 327.69970703125   "
"Pos : -34.93 34.93        | Predict  : 337.31378173828125  |  Target 329.4841613769531 "
"Pos : -49.40 0.00         | Predict  : 332.5007019042969   |  Target 329.8428039550781 "
"Pos : -34.93 -34.93       | Predict  : 331.6524658203125   |  Target 330.13592529296875"
"Pos : 0.00 -49.40         | Predict  : 327.90765380859375  |  Target 328.6207275390625 "
"Pos : 34.93 -34.93        | Predict  : 324.2681884765625   |  Target 326.7083740234375 "
"Pos : 49.40 0.00          | Predict  : 327.0160217285156   |  Target 326.14703369140625"
"Pos : 34.93 34.93         | Predict  : 326.9354248046875   |  Target 326.447021484375  "
"Pos : 0.00 98.80          | Predict  : 317.21588134765625  |  Target 317.9645080566406 "
"Pos : -37.81 91.28        | Predict  : 324.45953369140625  |  Target 318.8328552246094 "
"Pos : -69.86 69.86        | Predict  : 315.038330078125    |  Target 319.7321472167969 "
"Pos : -91.28 37.81        | Predict  : 316.7887878417969   |  Target 320.2249755859375 "
"Pos : -98.80 0.00         | Predict  : 315.5145568847656   |  Target 320.74261474609375"
"Pos : -91.28 -37.81       | Predict  : 317.05413818359375  |  Target 320.8946838378906 "
"Pos : -69.86 -69.86       | Predict  : 323.5719299316406   |  Target 320.7244567871094 "
"Pos : -37.81 -91.28       | Predict  : 319.3592529296875   |  Target 320.3100891113281 "
"Pos : 0.00 -98.80         | Predict  : 320.1121826171875   |  Target 318.73089599609375"
"Pos : 37.81 -91.28        | Predict  : 317.0107421875      |  Target 317.6855163574219 "
"Pos : 69.86 -69.86        | Predict  : 315.5797119140625   |  Target 317.0175476074219 "
"Pos : 91.28 -37.81        | Predict  : 311.4335632324219   |  Target 316.89739990234375"
"Pos : 98.80 0.00          | Predict  : 314.29156494140625  |  Target 316.7902526855469 "
"Pos : 91.28 37.81         | Predict  : 322.45068359375     |  Target 317.2120361328125 "
"Pos : 69.86 69.86         | Predict  : 323.9688720703125   |  Target 316.93328857421875"
"Pos : 37.81 91.28         | Predict  : 317.4314880371094   |  Target 317.2383728027344 "
"Pos : 0.00 0.00           | Predict  : 332.4489440917969   |  Target 329.5776672363281 "
"Pos : 0.00 49.40          | Predict  : 335.7186279296875   |  Target 327.69970703125   "
"Pos : -34.93 34.93        | Predict  : 326.7855529785156   |  Target 329.4841613769531 "
"Pos : -49.40 0.00         | Predict  : 328.12744140625     |  Target 329.8428039550781 "
"Pos : -34.93 -34.93       | Predict  : 339.0062255859375   |  Target 330.13592529296875"
"Pos : 0.00 -49.40         | Predict  : 330.0354309082031   |  Target 328.6207275390625 "
"Pos : 34.93 -34.93        | Predict  : 329.38970947265625  |  Target 326.7083740234375 "
"Pos : 49.40 0.00          | Predict  : 328.8192138671875   |  Target 326.14703369140625"
"Pos : 34.93 34.93         | Predict  : 324.84136962890625  |  Target 326.447021484375  "
"Pos : 0.00 98.80          | Predict  : 314.99072265625     |  Target 317.9645080566406 "
"Pos : -37.81 91.28        | Predict  : 320.9631652832031   |  Target 318.8328552246094 "
"Pos : -69.86 69.86        | Predict  : 317.3685302734375   |  Target 319.7321472167969 "
"Pos : -91.28 37.81        | Predict  : 319.57354736328125  |  Target 320.2249755859375 "
"Pos : -98.80 0.00         | Predict  : 318.966064453125    |  Target 320.74261474609375"
"Pos : -91.28 -37.81       | Predict  : 329.1708984375      |  Target 320.8946838378906 "
"Pos : -69.86 -69.86       | Predict  : 318.0335388183594   |  Target 320.7244567871094 "
"Pos : -37.81 -91.28       | Predict  : 321.2182312011719   |  Target 320.3100891113281 "
"Pos : 0.00 -98.80         | Predict  : 326.1330871582031   |  Target 318.73089599609375"
"Pos : 37.81 -91.28        | Predict  : 318.5051574707031   |  Target 317.6855163574219 "
"Pos : 69.86 -69.86        | Predict  : 313.73553466796875  |  Target 317.0175476074219 "
"Pos : 91.28 -37.81        | Predict  : 314.7524719238281   |  Target 316.89739990234375"
"Pos : 98.80 0.00          | Predict  : 313.1948547363281   |  Target 316.7902526855469 "
"Pos : 91.28 37.81         | Predict  : 316.9307556152344   |  Target 317.2120361328125 "
"Pos : 69.86 69.86         | Predict  : 314.595703125       |  Target 316.93328857421875"
"Pos : 37.81 91.28         | Predict  : 319.11309814453125  |  Target 317.2383728027344 "
"Pos : 0.00 0.00           | Predict  : 330.0080261230469   |  Target 329.5776672363281 "
"Pos : 0.00 49.40          | Predict  : 332.6887512207031   |  Target 327.69970703125   "
"Pos : -34.93 34.93        | Predict  : 328.9316711425781   |  Target 329.4841613769531 "
"Pos : -49.40 0.00         | Predict  : 325.47589111328125  |  Target 329.8428039550781 "
"Pos : -34.93 -34.93       | Predict  : 332.59259033203125  |  Target 330.13592529296875"
"Pos : 0.00 -49.40         | Predict  : 329.3958435058594   |  Target 328.6207275390625 "
"Pos : 34.93 -34.93        | Predict  : 323.0731506347656   |  Target 326.7083740234375 "
"Pos : 49.40 0.00          | Predict  : 326.8559265136719   |  Target 326.14703369140625"
"Pos : 34.93 34.93         | Predict  : 325.6081848144531   |  Target 326.447021484375  "
"Pos : 0.00 98.80          | Predict  : 320.6665344238281   |  Target 317.9645080566406 "
"Pos : -37.81 91.28        | Predict  : 316.861328125       |  Target 318.8328552246094 "
"Pos : -69.86 69.86        | Predict  : 321.5236511230469   |  Target 319.7321472167969 "
"Pos : -91.28 37.81        | Predict  : 319.4114685058594   |  Target 320.2249755859375 "
"Pos : -98.80 0.00         | Predict  : 317.43170166015625  |  Target 320.74261474609375"
"Pos : -91.28 -37.81       | Predict  : 320.74945068359375  |  Target 320.8946838378906 "
"Pos : -69.86 -69.86       | Predict  : 321.5815734863281   |  Target 320.7244567871094 "
"Pos : -37.81 -91.28       | Predict  : 318.7543640136719   |  Target 320.3100891113281 "
"Pos : 0.00 -98.80         | Predict  : 319.9300842285156   |  Target 318.73089599609375"
"Pos : 37.81 -91.28        | Predict  : 320.6702880859375   |  Target 317.6855163574219 "
"Pos : 69.86 -69.86        | Predict  : 316.3656921386719   |  Target 317.0175476074219 "
"Pos : 91.28 -37.81        | Predict  : 315.8153381347656   |  Target 316.89739990234375"
"Pos : 98.80 0.00          | Predict  : 316.6418762207031   |  Target 316.7902526855469 "
"Pos : 91.28 37.81         | Predict  : 313.7034912109375   |  Target 317.2120361328125 "
"Pos : 69.86 69.86         | Predict  : 316.66046142578125  |  Target 316.93328857421875"
"Pos : 37.81 91.28         | Predict  : 318.6033935546875   |  Target 317.2383728027344 "
"Pos : 0.00 0.00           | Predict  : 329.3766784667969   |  Target 329.5776672363281 "
"Pos : 0.00 49.40          | Predict  : 324.0867004394531   |  Target 327.69970703125   "
"Pos : -34.93 34.93        | Predict  : 329.3229064941406   |  Target 329.4841613769531 "
"Pos : -49.40 0.00         | Predict  : 327.1182861328125   |  Target 329.8428039550781 "
"Pos : -34.93 -34.93       | Predict  : 327.9922180175781   |  Target 330.13592529296875"
"Pos : 0.00 -49.40         | Predict  : 326.8537292480469   |  Target 328.6207275390625 "
"Pos : 34.93 -34.93        | Predict  : 324.3132629394531   |  Target 326.7083740234375 "
"Pos : 49.40 0.00          | Predict  : 326.01019287109375  |  Target 326.14703369140625"
"Pos : 34.93 34.93         | Predict  : 326.8016052246094   |  Target 326.447021484375  "
"Pos : 0.00 98.80          | Predict  : 323.1919860839844   |  Target 317.9645080566406 "
"Pos : -37.81 91.28        | Predict  : 320.88665771484375  |  Target 318.8328552246094 "
"Pos : -69.86 69.86        | Predict  : 322.1953125         |  Target 319.7321472167969 "
"Pos : -91.28 37.81        | Predict  : 318.9023742675781   |  Target 320.2249755859375 "
"Pos : -98.80 0.00         | Predict  : 324.3399353027344   |  Target 320.74261474609375"
"Pos : -91.28 -37.81       | Predict  : 323.91363525390625  |  Target 320.8946838378906 "
"Pos : -69.86 -69.86       | Predict  : 320.2926025390625   |  Target 320.7244567871094 "
"Pos : -37.81 -91.28       | Predict  : 315.0378112792969   |  Target 320.3100891113281 "
"Pos : 0.00 -98.80         | Predict  : 320.9432067871094   |  Target 318.73089599609375"
"Pos : 37.81 -91.28        | Predict  : 310.8908996582031   |  Target 317.6855163574219 "
"Pos : 69.86 -69.86        | Predict  : 317.120849609375    |  Target 317.0175476074219 "
"Pos : 91.28 -37.81        | Predict  : 307.6429138183594   |  Target 316.89739990234375"
"Pos : 98.80 0.00          | Predict  : 315.92401123046875  |  Target 316.7902526855469 "
"Pos : 91.28 37.81         | Predict  : 315.4115295410156   |  Target 317.2120361328125 "
"Pos : 69.86 69.86         | Predict  : 325.0042419433594   |  Target 316.93328857421875"
"Pos : 37.81 91.28         | Predict  : 320.27691650390625  |  Target 317.2383728027344 "
"Pos : 0.00 0.00           | Predict  : 303.8116149902344   |  Target 302.45001220703125"
"Pos : 0.00 49.40          | Predict  : 298.92572021484375  |  Target 296.9770202636719 "
"Pos : -34.93 34.93        | Predict  : 290.2861022949219   |  Target 295.96990966796875"
"Pos : -49.40 0.00         | Predict  : 292.9530029296875   |  Target 296.5458984375    "
"Pos : -34.93 -34.93       | Predict  : 297.6842041015625   |  Target 296.2831115722656 "
"Pos : 0.00 -49.40         | Predict  : 298.8957824707031   |  Target 296.7130432128906 "
"Pos : 34.93 -34.93        | Predict  : 299.429443359375    |  Target 297.09185791015625"
"Pos : 49.40 0.00          | Predict  : 296.1210632324219   |  Target 297.1689453125    "
"Pos : 34.93 34.93         | Predict  : 300.6734619140625   |  Target 297.154052734375  "
"Pos : 0.00 98.80          | Predict  : 286.9535217285156   |  Target 288.42547607421875"
"Pos : -37.81 91.28        | Predict  : 287.9519958496094   |  Target 287.83819580078125"
"Pos : -69.86 69.86        | Predict  : 288.8444519042969   |  Target 287.3325500488281 "
"Pos : -91.28 37.81        | Predict  : 282.7442932128906   |  Target 287.0548095703125 "
